Name,Slug,Collection ID,Locale ID,Item ID,Created On,Updated On,Published On,Business Profile,Is Featured?,District,Event Categories,Cost of Event,Event Date (Shown on Listing) REQUIRED,Time of the Event,Neighborhood (text),Event Details,RSVP/Event Link,Venue Name,Event Address,Age Range,Event email contact,Event Phone,Event Listing Img,Likes,CMS ID
Bookmans Summer Kids Event,bookmans-summer-kids-event-2,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,667368d3eecd204b386ba930,Wed Jun 19 2024 23:25:07 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 23:25:07 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 23:25:24 GMT+0000 (Coordinated Universal Time),,false,tucson,community-event,FREE,Wed Jul 03 2024 15:00:00 GMT+0000 (Coordinated Universal Time),10:00am-11:00am,Central,"🌞📚 Join us for Bookmans Summer Kids Events every Wednesday at 10 AM! 🎉 Each week, we have different activities planned to keep your little ones entertained and engaged in the Kids Corner of Bookmans. There's something new and exciting every Wednesday. Don't miss out on these fun-filled mornings all summer long! 🌈✨ When: Every Wednesday at 10 AM Where: Kids Corner at your local Bookmans 🪐 June 5 - Children's Museum: “Wonders of Space” program. Learn about asteroids and make your own models! 🦎 June 12 - Southern AZ reptiles: Reptiles! Come learn about our scaly friends and maybe pet a snake. 🎷 June 19 - Musical petting zoo: Musical fun with a zoo of instruments! All skill levels are welcome. 🤡 June 26 - Circus academy: Circus fun! Learn to juggle and spin plates 👻 July 3 - AZ Ghostbusters: Ghostbusters hang out, check out cars decked out Ecto style and giant marshmallow man! ✈️ July 10 - Pima Air and Space: Cargo plane challenge! Design and build a cargo plane that can carry a load of paper clips ☄️ July 17 - Flandrau Science Center: Learn about space and make your own comet! 🐢 July 24 - Meet the neighbors! Learn about Sonoran Desert wildlife with the Arizona Sonora Desert Museum! Bring your kiddos and let the summer fun begin! See you there! 📖 #SummerFun #KidsActivities #BookmansKidsCorner #Bookmans All activities are free and open to the public. Suitable for kids of all ages.",,Bookmans River,4851 N Stone Ave,All Ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/667368b1e3ac6f08f626c67a_446813971_979930827466839_5369680370762542165_n.jpg,,
Bookmans Summer Kids Event,bookmans-summer-kids-event,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,667368c0f3818bb0c0d7b187,Wed Jun 19 2024 23:24:48 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 23:24:48 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 23:25:24 GMT+0000 (Coordinated Universal Time),,false,tucson,community-event,FREE,Wed Jun 26 2024 15:00:00 GMT+0000 (Coordinated Universal Time),10:00am-11:00am,Central,"🌞📚 Join us for Bookmans Summer Kids Events every Wednesday at 10 AM! 🎉 Each week, we have different activities planned to keep your little ones entertained and engaged in the Kids Corner of Bookmans. There's something new and exciting every Wednesday. Don't miss out on these fun-filled mornings all summer long! 🌈✨ When: Every Wednesday at 10 AM Where: Kids Corner at your local Bookmans 🪐 June 5 - Children's Museum: “Wonders of Space” program. Learn about asteroids and make your own models! 🦎 June 12 - Southern AZ reptiles: Reptiles! Come learn about our scaly friends and maybe pet a snake. 🎷 June 19 - Musical petting zoo: Musical fun with a zoo of instruments! All skill levels are welcome. 🤡 June 26 - Circus academy: Circus fun! Learn to juggle and spin plates 👻 July 3 - AZ Ghostbusters: Ghostbusters hang out, check out cars decked out Ecto style and giant marshmallow man! ✈️ July 10 - Pima Air and Space: Cargo plane challenge! Design and build a cargo plane that can carry a load of paper clips ☄️ July 17 - Flandrau Science Center: Learn about space and make your own comet! 🐢 July 24 - Meet the neighbors! Learn about Sonoran Desert wildlife with the Arizona Sonora Desert Museum! Bring your kiddos and let the summer fun begin! See you there! 📖 #SummerFun #KidsActivities #BookmansKidsCorner #Bookmans All activities are free and open to the public. Suitable for kids of all ages.",,Bookmans River,4851 N Stone Ave,All Ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/667368b1e3ac6f08f626c67a_446813971_979930827466839_5369680370762542165_n.jpg,,
Pool Party,pool-party,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,667367b36f1167ceaef8c7fe,Wed Jun 19 2024 23:20:19 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 23:20:19 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 23:25:24 GMT+0000 (Coordinated Universal Time),,false,tucson,special-event,Free for Members/$7 non members,Sun Jun 23 2024 18:00:00 GMT+0000 (Coordinated Universal Time),1:00pm-6:00pm,Central,"Join us for our unforgettable days of fun, music, and delicious food! Event Details: 🎶 Live DJ: Enjoy music all afternoon with our live DJ spinning your favorite summer hits. 👀 Safety First: A lifeguard will be on duty throughout the event to ensure everyone has a safe and fun time. 🏀 Get competitive with poolside basketball. Admission: - Free for members - $7 entry for non-members Special Deals on Food & Drinks: 🍔 $8 Burgers 🌭 $6 Hot Dogs 🧊 $2 Popsicles & Jello Shots",,Tucson Raquet and Fitness Club,"4001 N Country Club Rd, Tucson, AZ 85716",All Ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/667367a6696b209301dbd054_447010973_1075617653918299_819472456648863872_n.jpg,,
Monsoon Party,monsoon-party,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,667366a880bf5da5f378dbff,Wed Jun 19 2024 23:15:52 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 23:15:52 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 23:25:24 GMT+0000 (Coordinated Universal Time),trail-dust-town,false,tucson,special-event,$10+,Sat Jul 13 2024 19:00:00 GMT+0000 (Coordinated Universal Time),2:00pm-6:00pm,East,"Join Trail Dust Town and Local First Arizona for a party to celebrate the arrival of monsoon season! Meet local non-profits and groups working to conserve our precious water and environment. Enjoy family-fun with Mr. Nature from 3 to 4pm, live music with Nico Barberan from 4 to 6pm, crafts with Young at Heart Together, amusement rides, themed food and drink, monsoon-inspired shopping, and don’t miss the countdown to the rainy season at 4pm! Your $10 tickets grant you entry, all activities, and unlimited rides on the amusement rides. The $15 ticket is available for those 21+ gets you all that PLUS your choice of a beer tasting flight with Pueblo Vida Brewing or a wine tasting flight with Laramita Cellars. Children under 2 get free admission and do not require a ticket. Please note that all tickets sold at the door will be an additional $3 more.",https://www.tickettailor.com/events/traildusttown/1275763?fbclid=IwZXh0bgNhZW0CMTAAAR1tqBwCcdvnxXXezUxYPibUWbQ4-cdcr-iL0DblQA86R8ZiDcHz48kZNRM_aem_ZmFrZWR1bW15MTZieXRlcw,Trail Dust Town,6541 E Tanque Verde Rd,All Ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/667366a00ca173c9f2282759_447062417_858205019683822_3165394209299227165_n.jpg,,
Tucson Comic Con,tucson-comic-con-3,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,667364c3b8e034d5230ff980,Wed Jun 19 2024 23:07:47 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 23:07:47 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 23:25:24 GMT+0000 (Coordinated Universal Time),,false,tucson,special-event,Kids 8 and under FREE (costs vary),Sun Sep 01 2024 22:00:00 GMT+0000 (Coordinated Universal Time),10:00AM-5:00PM,Downtown,"The Biggest Pop-Culture Event in Southern Arizona Comics, Toys, Tabletop games, Video Games, Panels, Costume Contests, Immersive Experiences, One-of-a-Kind Finds, Celebrities, Film Festivals, and much much much more. Adult pricing is 14 and Up Early Bird Full Weekend $50 until July 11th @11:59pm Friday - $20 Saturday- $30 Sunday - $20 Kids 9yr to 13yr Kids Full weekend $20 Friday - $10 Saturday - $15 Sunday - $10 Kids 8 and under are FREE The price goes up at the door ",https://tucsoncomic-con.com/,Tucson Convention Center,"280 S Church Ave, Tucson, AZ 85701",All Ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/667364659c260af428efb1a7_429790526_823053749866800_5592731626080838897_n.jpg,,
Tucson Comic Con,tucson-comic-con-2,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,667364aa5707ee7a8d8f2e98,Wed Jun 19 2024 23:07:22 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 23:07:22 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 23:25:24 GMT+0000 (Coordinated Universal Time),,false,tucson,special-event,Kids 8 and under FREE (costs vary),Sat Aug 31 2024 22:00:00 GMT+0000 (Coordinated Universal Time),10:00AM-6:00PM,Downtown,"The Biggest Pop-Culture Event in Southern Arizona Comics, Toys, Tabletop games, Video Games, Panels, Costume Contests, Immersive Experiences, One-of-a-Kind Finds, Celebrities, Film Festivals, and much much much more. Adult pricing is 14 and Up Early Bird Full Weekend $50 until July 11th @11:59pm Friday - $20 Saturday- $30 Sunday - $20 Kids 9yr to 13yr Kids Full weekend $20 Friday - $10 Saturday - $15 Sunday - $10 Kids 8 and under are FREE The price goes up at the door ",https://tucsoncomic-con.com/,Tucson Convention Center,"280 S Church Ave, Tucson, AZ 85701",All Ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/667364659c260af428efb1a7_429790526_823053749866800_5592731626080838897_n.jpg,,
Tucson Comic Con,tucson-comic-con,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,667364750ca173c9f226aca0,Wed Jun 19 2024 23:06:29 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 23:06:29 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 23:25:24 GMT+0000 (Coordinated Universal Time),,false,tucson,special-event,Kids 8 and under FREE (costs vary),Fri Aug 30 2024 22:00:00 GMT+0000 (Coordinated Universal Time),2:00-7:00PM,Downtown,"The Biggest Pop-Culture Event in Southern Arizona Comics, Toys, Tabletop games, Video Games, Panels, Costume Contests, Immersive Experiences, One-of-a-Kind Finds, Celebrities, Film Festivals, and much much much more. Adult pricing is 14 and Up Early Bird Full Weekend $50 until July 11th @11:59pm Friday - $20 Saturday- $30 Sunday - $20 Kids 9yr to 13yr Kids Full weekend $20 Friday - $10 Saturday - $15 Sunday - $10 Kids 8 and under are FREE The price goes up at the door ",https://tucsoncomic-con.com/,Tucson Convention Center,"280 S Church Ave, Tucson, AZ 85701",All Ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/667364659c260af428efb1a7_429790526_823053749866800_5592731626080838897_n.jpg,,
Cool Summer Nights  - Dino Night,cool-summer-nights---dino-night,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,6673617d06e1b9ba55b25e4a,Wed Jun 19 2024 22:53:49 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 22:53:49 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 23:25:24 GMT+0000 (Coordinated Universal Time),arizona-sonora-desert-museum,false,tucson,special-event,Included with Admission,Sat Jun 22 2024 23:00:00 GMT+0000 (Coordinated Universal Time),6:00pm - 9:00pm,West,"Have you heard that the Sonorasaurus is officially Arizona's state dinosaur? Based on the fossils, it is estimated that the dino was about 50 feet long and weighed 4,000 pounds. Come see the REAL Sonorasaurus fossils (only at the Desert Museum)! EVENING SCHEDULE Signature Drink — Jurassic Punch 6:00 - 9:00 pm Activities in the BEB - Come enjoy dino-themed activities in the Baldwin Education Building, including fossil interpretation, crafts, and even a red carpet photo op! 7:00 - 8:15 pm Screening of ""Why Dinosaurs?"" in the Warden Oasis Theater. Cool off while watching this dino-documentary from Pinto Productions. 8:15 - 8:45 pm Panel Discussion. Chat with the creators of the documentary, Tony Pinto and James Pinto; the man who discovered the Sonorasaurus, Richard Thompson; and the student who petitioned to make the Sonorasaurus Arizona's state dino, Jax Weldon. ABOUT THE MOVIE, ""WHY DINOSAURS?"" From prestigious museums and universities, to blockbuster films, amusement park rides, video games, and toys--dinosaurs have always fascinated us. But, why? WHY DINOSAURS? follows dino-obsessed youth James Pinto and his filmmaker father (Tony Pinto) on a journey around the world, interviewing world renowned paleontologists about the latest dinosaur research, and encountering dinosaur fanatics of all walks of life. -- ABOUT COOL SUMMER NIGHTS Open till 9:00 p.m. on Saturdays June 8 - August 24, 2024 The Desert Museum is lovely during the day, but it’s even cooler after dark! Join us every Saturday night throughout the summer to beat the heat while learning something neat! The desert comes alive at night as nocturnal animals awake. Bats perform aerial acrobatics in pursuit of dinner, beavers splash around in their pond, and scorpions glow green under black light. Bring your flashlight and explore, grab a local beer and wander, experience a live animal encounter, scamper in Packrat Playhouse, feel the touch of a stingray, or participate in special nightly activities. ",https://www.desertmuseum.org/visit/events_saturday_csn,Arizona-Sonora Desert Museum,"2021 N Kinney Rd, Tucson, AZ 85743",All Ages,,520-883-2702,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/667361767ecdddc887326361_436361938_888791173293417_4466945550420361194_n.jpg,,65f831e7ebebf206126ead76
Chillin at the Chul,chillin-at-the-chul-5,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,66735f4b49f30dcd1f5263e9,Wed Jun 19 2024 22:44:27 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 22:44:27 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 23:25:24 GMT+0000 (Coordinated Universal Time),tohono-chul,false,tucson,community-event,Free,Sat Jun 29 2024 23:00:00 GMT+0000 (Coordinated Universal Time),6:00PM-9:00PM,North,"We're thrilled to bring back our beloved summer nights series, Chillin at the Chul! 🎶🍻🌸 Join us every Friday and Saturday evening from 6 to 9 pm for an unforgettable experience with live music, refreshing drinks, family-friendly activities, and delicious light bites! Relax in the cool shade of our beautiful gardens, where the mature trees provide a refreshing 10° drop in temperature. Saturdays are especially fun for families, thanks to our partnership with the Children’s Museum Oro Valley, offering engaging nature-based play for kids. Best of all, admission to Chillin at the Chul is completely FREE. ✨ It's the perfect way to unwind after a busy week. Discover our fantastic lineup of musical acts and check out the menu from the Garden Bistro → tohonochul.org/chillin-at-the-chul/ We can't wait to chill with you at the Chul!",https://tohonochul.org/chillin-at-the-chul/?fbclid=IwZXh0bgNhZW0CMTAAAR2M7AzcZSWpXUZS_MIuRyXTX03AVjQziumqOOZ3WfiqOW0fB3JPBLp25iM_aem_ZmFrZWR1bW15MTZieXRlcw,Tohono Chul,"7366 Paseo del Norte Tucson, AZ 85704",All Ages,,(520) 742-6455,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/66735ee5a448a91971e0d58c_443818647_1047727643355867_d4551529994975944595_n.jpg,1,65f831e6cb837c2310304feb
Chillin at the Chul ,chillin-at-the-chul-4,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,66735f3814ca8a585af34384,Wed Jun 19 2024 22:44:08 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 22:44:08 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 23:25:24 GMT+0000 (Coordinated Universal Time),tohono-chul,false,tucson,community-event,Free,Fri Jun 28 2024 23:00:00 GMT+0000 (Coordinated Universal Time),6:00PM-9:00PM,North,"We're thrilled to bring back our beloved summer nights series, Chillin at the Chul! 🎶🍻🌸 Join us every Friday and Saturday evening from 6 to 9 pm for an unforgettable experience with live music, refreshing drinks, family-friendly activities, and delicious light bites! Relax in the cool shade of our beautiful gardens, where the mature trees provide a refreshing 10° drop in temperature. Saturdays are especially fun for families, thanks to our partnership with the Children’s Museum Oro Valley, offering engaging nature-based play for kids. Best of all, admission to Chillin at the Chul is completely FREE. ✨ It's the perfect way to unwind after a busy week. Discover our fantastic lineup of musical acts and check out the menu from the Garden Bistro → tohonochul.org/chillin-at-the-chul/ We can't wait to chill with you at the Chul!",https://tohonochul.org/chillin-at-the-chul/?fbclid=IwZXh0bgNhZW0CMTAAAR2M7AzcZSWpXUZS_MIuRyXTX03AVjQziumqOOZ3WfiqOW0fB3JPBLp25iM_aem_ZmFrZWR1bW15MTZieXRlcw,Tohono Chul,"7366 Paseo del Norte Tucson, AZ 85704",All Ages,,(520) 742-6455,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/66735ee5a448a91971e0d58c_443818647_1047727643355867_d4551529994975944595_n.jpg,1,65f831e6cb837c2310304feb
